2023-05-27 23:18:01,102 - common - INFO - Starting synchronous SGD training with 10 workers
2023-05-27 23:18:01,480 - common - DEBUG - Worker_1 is working on a dataset of size 6000
2023-05-27 23:18:01,593 - common - DEBUG - PS got 1/10 updates (from Worker_1, 1/188 (1/1128), epoch 1/6)
2023-05-27 23:18:01,613 - common - DEBUG - Worker_2 is working on a dataset of size 6000
2023-05-27 23:18:01,757 - common - DEBUG - Worker_3 is working on a dataset of size 6000
2023-05-27 23:18:01,981 - common - DEBUG - Worker_4 is working on a dataset of size 6000
2023-05-27 23:18:02,037 - common - DEBUG - PS got 2/10 updates (from Worker_3, 1/188 (1/1128), epoch 1/6)
2023-05-27 23:18:02,064 - common - DEBUG - PS got 2/10 updates (from Worker_2, 1/188 (1/1128), epoch 1/6)
2023-05-27 23:18:02,115 - common - DEBUG - Worker_5 is working on a dataset of size 6000
2023-05-27 23:18:02,149 - common - DEBUG - PS got 4/10 updates (from Worker_4, 1/188 (1/1128), epoch 1/6)
2023-05-27 23:18:02,254 - common - DEBUG - Worker_6 is working on a dataset of size 6000
2023-05-27 23:18:02,299 - common - DEBUG - Worker_7 is working on a dataset of size 6000
2023-05-27 23:18:02,456 - common - DEBUG - PS got 5/10 updates (from Worker_5, 1/188 (1/1128), epoch 1/6)
2023-05-27 23:18:02,478 - common - DEBUG - Worker_8 is working on a dataset of size 6000
2023-05-27 23:18:02,584 - common - DEBUG - PS got 6/10 updates (from Worker_6, 1/188 (1/1128), epoch 1/6)
2023-05-27 23:18:02,663 - common - DEBUG - PS got 7/10 updates (from Worker_8, 1/188 (1/1128), epoch 1/6)
2023-05-27 23:18:02,677 - common - DEBUG - Worker_9 is working on a dataset of size 6000
2023-05-27 23:18:02,877 - common - DEBUG - Worker_10 is working on a dataset of size 6000
2023-05-27 23:18:02,895 - common - DEBUG - PS got 8/10 updates (from Worker_7, 1/188 (1/1128), epoch 1/6)
2023-05-27 23:18:02,962 - common - DEBUG - PS got 9/10 updates (from Worker_10, 1/188 (1/1128), epoch 1/6)
2023-05-27 23:18:03,028 - common - DEBUG - PS got 10/10 updates (from Worker_9, 1/188 (1/1128), epoch 1/6)
2023-05-27 23:18:03,038 - common - DEBUG - PS updated model, global loss is 2.3000787496566772, weights norm is 8.865552196653278
2023-05-27 23:18:03,708 - common - DEBUG - PS got 1/10 updates (from Worker_3, 2/188 (2/1128), epoch 1/6)
2023-05-27 23:18:03,813 - common - DEBUG - PS got 2/10 updates (from Worker_10, 2/188 (2/1128), epoch 1/6)
2023-05-27 23:18:03,851 - common - DEBUG - PS got 3/10 updates (from Worker_4, 2/188 (2/1128), epoch 1/6)
2023-05-27 23:18:04,026 - common - DEBUG - PS got 4/10 updates (from Worker_1, 2/188 (2/1128), epoch 1/6)
2023-05-27 23:18:04,055 - common - DEBUG - PS got 5/10 updates (from Worker_5, 2/188 (2/1128), epoch 1/6)
2023-05-27 23:18:04,090 - common - DEBUG - PS got 6/10 updates (from Worker_2, 2/188 (2/1128), epoch 1/6)
2023-05-27 23:18:04,095 - common - DEBUG - PS got 7/10 updates (from Worker_8, 2/188 (2/1128), epoch 1/6)
2023-05-27 23:18:04,099 - common - DEBUG - PS got 7/10 updates (from Worker_6, 2/188 (2/1128), epoch 1/6)
2023-05-27 23:18:04,176 - common - DEBUG - PS got 9/10 updates (from Worker_7, 2/188 (2/1128), epoch 1/6)
2023-05-27 23:18:04,206 - common - DEBUG - PS got 10/10 updates (from Worker_9, 2/188 (2/1128), epoch 1/6)
2023-05-27 23:18:04,219 - common - DEBUG - PS updated model, global loss is 2.3008220195770264, weights norm is 8.86555288090739
2023-05-27 23:18:04,929 - common - DEBUG - PS got 1/10 updates (from Worker_6, 3/188 (3/1128), epoch 1/6)
2023-05-27 23:18:05,134 - common - DEBUG - PS got 2/10 updates (from Worker_3, 3/188 (3/1128), epoch 1/6)
2023-05-27 23:18:05,222 - common - DEBUG - PS got 3/10 updates (from Worker_1, 3/188 (3/1128), epoch 1/6)
2023-05-27 23:18:05,290 - common - DEBUG - PS got 4/10 updates (from Worker_7, 3/188 (3/1128), epoch 1/6)
2023-05-27 23:18:05,306 - common - DEBUG - PS got 5/10 updates (from Worker_8, 3/188 (3/1128), epoch 1/6)
2023-05-27 23:18:05,349 - common - DEBUG - PS got 6/10 updates (from Worker_9, 3/188 (3/1128), epoch 1/6)
2023-05-27 23:18:05,371 - common - DEBUG - PS got 7/10 updates (from Worker_4, 3/188 (3/1128), epoch 1/6)
2023-05-27 23:18:05,526 - common - DEBUG - PS got 8/10 updates (from Worker_2, 3/188 (3/1128), epoch 1/6)
2023-05-27 23:18:05,567 - common - DEBUG - PS got 9/10 updates (from Worker_10, 3/188 (3/1128), epoch 1/6)
2023-05-27 23:18:05,606 - common - DEBUG - PS got 10/10 updates (from Worker_5, 3/188 (3/1128), epoch 1/6)
2023-05-27 23:18:05,620 - common - DEBUG - PS updated model, global loss is 2.301076602935791, weights norm is 8.865557180717039
2023-05-27 23:18:06,516 - common - DEBUG - PS got 1/10 updates (from Worker_3, 4/188 (4/1128), epoch 1/6)
2023-05-27 23:18:06,606 - common - DEBUG - PS got 2/10 updates (from Worker_7, 4/188 (4/1128), epoch 1/6)
2023-05-27 23:18:06,648 - common - DEBUG - PS got 3/10 updates (from Worker_4, 4/188 (4/1128), epoch 1/6)
2023-05-27 23:18:06,896 - common - DEBUG - PS got 4/10 updates (from Worker_6, 4/188 (4/1128), epoch 1/6)
2023-05-27 23:18:06,916 - common - DEBUG - PS got 5/10 updates (from Worker_9, 4/188 (4/1128), epoch 1/6)
2023-05-27 23:18:06,926 - common - DEBUG - PS got 5/10 updates (from Worker_2, 4/188 (4/1128), epoch 1/6)
2023-05-27 23:18:06,983 - common - DEBUG - PS got 7/10 updates (from Worker_10, 4/188 (4/1128), epoch 1/6)
2023-05-27 23:18:06,996 - common - DEBUG - PS got 8/10 updates (from Worker_5, 4/188 (4/1128), epoch 1/6)
2023-05-27 23:18:07,005 - common - DEBUG - PS got 9/10 updates (from Worker_1, 4/188 (4/1128), epoch 1/6)
2023-05-27 23:18:07,022 - common - DEBUG - PS got 10/10 updates (from Worker_8, 4/188 (4/1128), epoch 1/6)
2023-05-27 23:18:07,031 - common - DEBUG - PS updated model, global loss is 2.3002160787582397, weights norm is 8.865560997457658
2023-05-27 23:18:07,906 - common - DEBUG - PS got 1/10 updates (from Worker_5, 5/188 (5/1128), epoch 1/6)
2023-05-27 23:18:07,962 - common - DEBUG - PS got 2/10 updates (from Worker_2, 5/188 (5/1128), epoch 1/6)
2023-05-27 23:18:07,996 - common - DEBUG - PS got 3/10 updates (from Worker_3, 5/188 (5/1128), epoch 1/6)
2023-05-27 23:18:08,015 - common - DEBUG - PS got 4/10 updates (from Worker_7, 5/188 (5/1128), epoch 1/6)
2023-05-27 23:18:08,027 - common - DEBUG - PS got 5/10 updates (from Worker_4, 5/188 (5/1128), epoch 1/6)
2023-05-27 23:18:08,312 - common - DEBUG - PS got 6/10 updates (from Worker_9, 5/188 (5/1128), epoch 1/6)
2023-05-27 23:18:08,319 - common - DEBUG - PS got 7/10 updates (from Worker_1, 5/188 (5/1128), epoch 1/6)
2023-05-27 23:18:08,320 - common - DEBUG - PS got 7/10 updates (from Worker_8, 5/188 (5/1128), epoch 1/6)
2023-05-27 23:18:08,376 - common - DEBUG - PS got 9/10 updates (from Worker_10, 5/188 (5/1128), epoch 1/6)
2023-05-27 23:18:08,389 - common - DEBUG - PS got 10/10 updates (from Worker_6, 5/188 (5/1128), epoch 1/6)
2023-05-27 23:18:08,400 - common - DEBUG - PS updated model, global loss is 2.299660587310791, weights norm is 8.865572352964255
2023-05-27 23:18:09,386 - common - DEBUG - PS got 1/10 updates (from Worker_3, 6/188 (6/1128), epoch 1/6)
2023-05-27 23:18:09,437 - common - DEBUG - PS got 2/10 updates (from Worker_2, 6/188 (6/1128), epoch 1/6)
2023-05-27 23:18:09,443 - common - DEBUG - PS got 3/10 updates (from Worker_8, 6/188 (6/1128), epoch 1/6)
2023-05-27 23:18:09,455 - common - DEBUG - PS got 4/10 updates (from Worker_1, 6/188 (6/1128), epoch 1/6)
2023-05-27 23:18:09,682 - common - DEBUG - PS got 5/10 updates (from Worker_4, 6/188 (6/1128), epoch 1/6)
2023-05-27 23:18:09,722 - common - DEBUG - PS got 6/10 updates (from Worker_5, 6/188 (6/1128), epoch 1/6)
2023-05-27 23:18:09,783 - common - DEBUG - PS got 7/10 updates (from Worker_10, 6/188 (6/1128), epoch 1/6)
2023-05-27 23:18:09,783 - common - DEBUG - PS got 7/10 updates (from Worker_9, 6/188 (6/1128), epoch 1/6)
2023-05-27 23:18:09,795 - common - DEBUG - PS got 9/10 updates (from Worker_6, 6/188 (6/1128), epoch 1/6)
2023-05-27 23:18:09,806 - common - DEBUG - PS got 10/10 updates (from Worker_7, 6/188 (6/1128), epoch 1/6)
2023-05-27 23:18:09,839 - common - DEBUG - PS updated model, global loss is 2.2989856958389283, weights norm is 8.865585894781661
2023-05-27 23:18:10,669 - common - DEBUG - PS got 1/10 updates (from Worker_2, 7/188 (7/1128), epoch 1/6)
