2023-05-28 16:28:59,498 - common - INFO - Starting synchronous SGD training with 10 workers
2023-05-28 16:28:59,926 - common - DEBUG - Worker_1 is working on a dataset of size 6000
2023-05-28 16:29:00,101 - common - DEBUG - Worker_2 is working on a dataset of size 6000
2023-05-28 16:29:00,202 - common - DEBUG - Worker_3 is working on a dataset of size 6000
2023-05-28 16:29:00,461 - common - DEBUG - Worker_4 is working on a dataset of size 6000
2023-05-28 16:29:00,510 - common - DEBUG - PS got 1/10 updates (from Worker_2, 1/188 (1/1128), epoch 1/6)
2023-05-28 16:29:00,520 - common - DEBUG - PS got 1/10 updates (from Worker_1, 1/188 (1/1128), epoch 1/6)
2023-05-28 16:29:00,609 - common - DEBUG - Worker_5 is working on a dataset of size 6000
2023-05-28 16:29:00,822 - common - DEBUG - PS got 3/10 updates (from Worker_3, 1/188 (1/1128), epoch 1/6)
2023-05-28 16:29:00,851 - common - DEBUG - Worker_6 is working on a dataset of size 6000
2023-05-28 16:29:01,086 - common - DEBUG - Worker_7 is working on a dataset of size 6000
2023-05-28 16:29:01,247 - common - DEBUG - Worker_8 is working on a dataset of size 6000
2023-05-28 16:29:01,065 - common - DEBUG - PS got 4/10 updates (from Worker_4, 1/188 (1/1128), epoch 1/6)
2023-05-28 16:29:01,317 - common - DEBUG - PS got 4/10 updates (from Worker_5, 1/188 (1/1128), epoch 1/6)
2023-05-28 16:29:01,732 - common - DEBUG - PS got 6/10 updates (from Worker_6, 1/188 (1/1128), epoch 1/6)
2023-05-28 16:29:01,956 - common - DEBUG - Worker_9 is working on a dataset of size 6000
2023-05-28 16:29:01,983 - common - DEBUG - PS got 7/10 updates (from Worker_7, 1/188 (1/1128), epoch 1/6)
2023-05-28 16:29:01,990 - common - DEBUG - PS got 7/10 updates (from Worker_8, 1/188 (1/1128), epoch 1/6)
2023-05-28 16:29:02,018 - common - DEBUG - Worker_10 is working on a dataset of size 6000
2023-05-28 16:29:02,208 - common - DEBUG - PS got 9/10 updates (from Worker_10, 1/188 (1/1128), epoch 1/6)
2023-05-28 16:29:02,444 - common - DEBUG - PS got 10/10 updates (from Worker_9, 1/188 (1/1128), epoch 1/6)
2023-05-28 16:29:02,458 - common - DEBUG - PS updated model, global loss is 2.3079678297042845, weights norm is 8.876344758811936
2023-05-28 16:29:03,100 - common - DEBUG - PS got 1/10 updates (from Worker_1, 2/188 (2/1128), epoch 1/6)
2023-05-28 16:29:03,291 - common - DEBUG - PS got 2/10 updates (from Worker_3, 2/188 (2/1128), epoch 1/6)
2023-05-28 16:29:03,323 - common - DEBUG - PS got 3/10 updates (from Worker_5, 2/188 (2/1128), epoch 1/6)
2023-05-28 16:29:03,524 - common - DEBUG - PS got 4/10 updates (from Worker_4, 2/188 (2/1128), epoch 1/6)
2023-05-28 16:29:03,613 - common - DEBUG - PS got 5/10 updates (from Worker_10, 2/188 (2/1128), epoch 1/6)
2023-05-28 16:29:03,701 - common - DEBUG - PS got 6/10 updates (from Worker_8, 2/188 (2/1128), epoch 1/6)
