2023-05-28 15:27:15,915 - common - INFO - Starting synchronous SGD training with 10 workers
2023-05-28 15:27:15,939 - common - DEBUG - Worker_4 is working on a dataset of size 6000
2023-05-28 15:27:15,969 - common - DEBUG - Worker_1 is working on a dataset of size 6000
2023-05-28 15:27:15,976 - common - DEBUG - Worker_3 is working on a dataset of size 6000
2023-05-28 15:27:15,986 - common - DEBUG - Worker_7 is working on a dataset of size 6000
2023-05-28 15:27:15,987 - common - DEBUG - Worker_5 is working on a dataset of size 6000
2023-05-28 15:27:15,983 - common - DEBUG - Worker_8 is working on a dataset of size 6000
2023-05-28 15:27:15,989 - common - DEBUG - Worker_9 is working on a dataset of size 6000
2023-05-28 15:27:15,993 - common - DEBUG - Worker_2 is working on a dataset of size 6000
2023-05-28 15:27:15,994 - common - DEBUG - Worker_10 is working on a dataset of size 6000
2023-05-28 15:27:15,997 - common - DEBUG - Worker_6 is working on a dataset of size 6000
2023-05-28 15:27:16,943 - common - DEBUG - PS got 1/10 updates (from Worker_3, 1/188 (1/1128), epoch 1/6)
2023-05-28 15:27:17,030 - common - DEBUG - PS got 2/10 updates (from Worker_7, 1/188 (1/1128), epoch 1/6)
2023-05-28 15:27:17,032 - common - DEBUG - PS got 2/10 updates (from Worker_5, 1/188 (1/1128), epoch 1/6)
2023-05-28 15:27:17,035 - common - DEBUG - PS got 2/10 updates (from Worker_9, 1/188 (1/1128), epoch 1/6)
2023-05-28 15:27:17,192 - common - DEBUG - PS got 5/10 updates (from Worker_8, 1/188 (1/1128), epoch 1/6)
2023-05-28 15:27:17,211 - common - DEBUG - PS got 5/10 updates (from Worker_4, 1/188 (1/1128), epoch 1/6)
2023-05-28 15:27:17,230 - common - DEBUG - PS got 6/10 updates (from Worker_1, 1/188 (1/1128), epoch 1/6)
2023-05-28 15:27:17,245 - common - DEBUG - PS got 8/10 updates (from Worker_10, 1/188 (1/1128), epoch 1/6)
2023-05-28 15:27:17,309 - common - DEBUG - PS got 9/10 updates (from Worker_2, 1/188 (1/1128), epoch 1/6)
2023-05-28 15:27:17,340 - common - DEBUG - PS got 10/10 updates (from Worker_6, 1/188 (1/1128), epoch 1/6)
2023-05-28 15:27:17,360 - common - DEBUG - PS updated model, global loss is 2.308666729927063, weights norm is 8.94722727112154
2023-05-28 15:27:18,077 - common - DEBUG - PS got 1/10 updates (from Worker_7, 2/188 (2/1128), epoch 1/6)
2023-05-28 15:27:18,210 - common - DEBUG - PS got 2/10 updates (from Worker_3, 2/188 (2/1128), epoch 1/6)
2023-05-28 15:27:18,287 - common - DEBUG - PS got 3/10 updates (from Worker_9, 2/188 (2/1128), epoch 1/6)
2023-05-28 15:27:18,364 - common - DEBUG - PS got 4/10 updates (from Worker_8, 2/188 (2/1128), epoch 1/6)
2023-05-28 15:27:18,378 - common - DEBUG - PS got 5/10 updates (from Worker_5, 2/188 (2/1128), epoch 1/6)
2023-05-28 15:27:18,379 - common - DEBUG - PS got 5/10 updates (from Worker_4, 2/188 (2/1128), epoch 1/6)
2023-05-28 15:27:18,522 - common - DEBUG - PS got 7/10 updates (from Worker_2, 2/188 (2/1128), epoch 1/6)
2023-05-28 15:27:18,537 - common - DEBUG - PS got 8/10 updates (from Worker_1, 2/188 (2/1128), epoch 1/6)
2023-05-28 15:27:18,611 - common - DEBUG - PS got 9/10 updates (from Worker_6, 2/188 (2/1128), epoch 1/6)
2023-05-28 15:27:18,619 - common - DEBUG - PS got 9/10 updates (from Worker_10, 2/188 (2/1128), epoch 1/6)
2023-05-28 15:27:18,658 - common - DEBUG - PS updated model, global loss is 2.3164386987686156, weights norm is 8.947196372996514
2023-05-28 15:27:19,734 - common - DEBUG - PS got 1/10 updates (from Worker_8, 3/188 (3/1128), epoch 1/6)
2023-05-28 15:27:19,767 - common - DEBUG - PS got 2/10 updates (from Worker_1, 3/188 (3/1128), epoch 1/6)
2023-05-28 15:27:19,794 - common - DEBUG - PS got 3/10 updates (from Worker_2, 3/188 (3/1128), epoch 1/6)
2023-05-28 15:27:19,806 - common - DEBUG - PS got 4/10 updates (from Worker_7, 3/188 (3/1128), epoch 1/6)
2023-05-28 15:27:19,820 - common - DEBUG - PS got 4/10 updates (from Worker_9, 3/188 (3/1128), epoch 1/6)
2023-05-28 15:27:19,861 - common - DEBUG - PS got 5/10 updates (from Worker_4, 3/188 (3/1128), epoch 1/6)
2023-05-28 15:27:19,937 - common - DEBUG - PS got 7/10 updates (from Worker_10, 3/188 (3/1128), epoch 1/6)
2023-05-28 15:27:19,950 - common - DEBUG - PS got 8/10 updates (from Worker_3, 3/188 (3/1128), epoch 1/6)
2023-05-28 15:27:19,975 - common - DEBUG - PS got 9/10 updates (from Worker_6, 3/188 (3/1128), epoch 1/6)
2023-05-28 15:27:19,990 - common - DEBUG - PS got 10/10 updates (from Worker_5, 3/188 (3/1128), epoch 1/6)
2023-05-28 15:27:20,003 - common - DEBUG - PS updated model, global loss is 2.294828748703003, weights norm is 8.947212490063283
2023-05-28 15:27:20,695 - common - DEBUG - PS got 1/10 updates (from Worker_4, 4/188 (4/1128), epoch 1/6)
2023-05-28 15:27:20,881 - common - DEBUG - PS got 2/10 updates (from Worker_10, 4/188 (4/1128), epoch 1/6)
2023-05-28 15:27:20,903 - common - DEBUG - PS got 3/10 updates (from Worker_2, 4/188 (4/1128), epoch 1/6)
2023-05-28 15:27:20,943 - common - DEBUG - PS got 4/10 updates (from Worker_8, 4/188 (4/1128), epoch 1/6)
2023-05-28 15:27:21,110 - common - DEBUG - PS got 5/10 updates (from Worker_5, 4/188 (4/1128), epoch 1/6)
2023-05-28 15:27:21,126 - common - DEBUG - PS got 6/10 updates (from Worker_3, 4/188 (4/1128), epoch 1/6)
2023-05-28 15:27:21,183 - common - DEBUG - PS got 7/10 updates (from Worker_1, 4/188 (4/1128), epoch 1/6)
2023-05-28 15:27:21,189 - common - DEBUG - PS got 7/10 updates (from Worker_7, 4/188 (4/1128), epoch 1/6)
2023-05-28 15:27:21,202 - common - DEBUG - PS got 8/10 updates (from Worker_6, 4/188 (4/1128), epoch 1/6)
2023-05-28 15:27:21,204 - common - DEBUG - PS got 9/10 updates (from Worker_9, 4/188 (4/1128), epoch 1/6)
2023-05-28 15:27:21,217 - common - DEBUG - PS updated model, global loss is 2.276181697845459, weights norm is 8.94731414482995
2023-05-28 15:27:22,155 - common - DEBUG - PS got 1/10 updates (from Worker_7, 5/188 (5/1128), epoch 1/6)
2023-05-28 15:27:22,202 - common - DEBUG - PS got 2/10 updates (from Worker_6, 5/188 (5/1128), epoch 1/6)
2023-05-28 15:27:22,285 - common - DEBUG - PS got 3/10 updates (from Worker_4, 5/188 (5/1128), epoch 1/6)
2023-05-28 15:27:22,321 - common - DEBUG - PS got 4/10 updates (from Worker_10, 5/188 (5/1128), epoch 1/6)
2023-05-28 15:27:22,326 - common - DEBUG - PS got 4/10 updates (from Worker_2, 5/188 (5/1128), epoch 1/6)
2023-05-28 15:27:22,351 - common - DEBUG - PS got 4/10 updates (from Worker_8, 5/188 (5/1128), epoch 1/6)
2023-05-28 15:27:22,358 - common - DEBUG - PS got 7/10 updates (from Worker_1, 5/188 (5/1128), epoch 1/6)
2023-05-28 15:27:22,360 - common - DEBUG - PS got 7/10 updates (from Worker_9, 5/188 (5/1128), epoch 1/6)
2023-05-28 15:27:22,372 - common - DEBUG - PS got 9/10 updates (from Worker_5, 5/188 (5/1128), epoch 1/6)
2023-05-28 15:27:22,397 - common - DEBUG - PS got 10/10 updates (from Worker_3, 5/188 (5/1128), epoch 1/6)
2023-05-28 15:27:22,408 - common - DEBUG - PS updated model, global loss is 2.2499848365783692, weights norm is 8.947599905977045
2023-05-28 15:27:23,042 - common - DEBUG - PS got 1/10 updates (from Worker_8, 6/188 (6/1128), epoch 1/6)
2023-05-28 15:27:23,099 - common - DEBUG - PS got 2/10 updates (from Worker_4, 6/188 (6/1128), epoch 1/6)
2023-05-28 15:27:23,352 - common - DEBUG - PS got 3/10 updates (from Worker_6, 6/188 (6/1128), epoch 1/6)
2023-05-28 15:27:23,396 - common - DEBUG - PS got 4/10 updates (from Worker_7, 6/188 (6/1128), epoch 1/6)
2023-05-28 15:27:23,581 - common - DEBUG - PS got 5/10 updates (from Worker_1, 6/188 (6/1128), epoch 1/6)
2023-05-28 15:27:23,681 - common - DEBUG - PS got 6/10 updates (from Worker_10, 6/188 (6/1128), epoch 1/6)
2023-05-28 15:27:23,725 - common - DEBUG - PS got 7/10 updates (from Worker_9, 6/188 (6/1128), epoch 1/6)
2023-05-28 15:27:23,770 - common - DEBUG - PS got 8/10 updates (from Worker_2, 6/188 (6/1128), epoch 1/6)
2023-05-28 15:27:23,856 - common - DEBUG - PS got 9/10 updates (from Worker_3, 6/188 (6/1128), epoch 1/6)
2023-05-28 15:27:23,872 - common - DEBUG - PS got 10/10 updates (from Worker_5, 6/188 (6/1128), epoch 1/6)
2023-05-28 15:27:23,938 - common - DEBUG - PS updated model, global loss is 2.2170569896698, weights norm is 8.948115546464006
2023-05-28 15:27:24,695 - common - DEBUG - PS got 1/10 updates (from Worker_7, 7/188 (7/1128), epoch 1/6)
2023-05-28 15:27:24,759 - common - DEBUG - PS got 2/10 updates (from Worker_1, 7/188 (7/1128), epoch 1/6)
2023-05-28 15:27:24,905 - common - DEBUG - PS got 3/10 updates (from Worker_8, 7/188 (7/1128), epoch 1/6)
2023-05-28 15:27:25,015 - common - DEBUG - PS got 4/10 updates (from Worker_10, 7/188 (7/1128), epoch 1/6)
2023-05-28 15:27:25,064 - common - DEBUG - PS got 5/10 updates (from Worker_2, 7/188 (7/1128), epoch 1/6)
2023-05-28 15:27:25,105 - common - DEBUG - PS got 6/10 updates (from Worker_3, 7/188 (7/1128), epoch 1/6)
2023-05-28 15:27:25,128 - common - DEBUG - PS got 7/10 updates (from Worker_6, 7/188 (7/1128), epoch 1/6)
2023-05-28 15:27:25,163 - common - DEBUG - PS got 8/10 updates (from Worker_4, 7/188 (7/1128), epoch 1/6)
2023-05-28 15:27:25,175 - common - DEBUG - PS got 9/10 updates (from Worker_9, 7/188 (7/1128), epoch 1/6)
2023-05-28 15:27:25,232 - common - DEBUG - PS got 10/10 updates (from Worker_5, 7/188 (7/1128), epoch 1/6)
2023-05-28 15:27:25,246 - common - DEBUG - PS updated model, global loss is 2.1931397676467896, weights norm is 8.948903461826848
