2023-05-28 13:01:56,252 - common - INFO - Starting synchronous SGD training with 10 workers
2023-05-28 13:01:56,697 - common - DEBUG - Worker_1 is working on a dataset of size 6000
2023-05-28 13:01:56,800 - common - DEBUG - Worker_2 is working on a dataset of size 6000
2023-05-28 13:01:56,963 - common - DEBUG - Worker_3 is working on a dataset of size 6000
2023-05-28 13:01:57,353 - common - DEBUG - Worker_4 is working on a dataset of size 6000
2023-05-28 13:01:57,404 - common - DEBUG - PS got 1/10 updates (from Worker_1, 1/188 (1/1128), epoch 1/6)
2023-05-28 13:01:57,463 - common - DEBUG - PS got 2/10 updates (from Worker_2, 1/188 (1/1128), epoch 1/6)
2023-05-28 13:01:57,549 - common - DEBUG - Worker_5 is working on a dataset of size 6000
2023-05-28 13:01:57,588 - common - DEBUG - PS got 3/10 updates (from Worker_3, 1/188 (1/1128), epoch 1/6)
2023-05-28 13:01:57,692 - common - DEBUG - Worker_6 is working on a dataset of size 6000
2023-05-28 13:01:57,825 - common - DEBUG - Worker_7 is working on a dataset of size 6000
2023-05-28 13:01:57,906 - common - DEBUG - Worker_8 is working on a dataset of size 6000
2023-05-28 13:01:58,050 - common - DEBUG - PS got 4/10 updates (from Worker_4, 1/188 (1/1128), epoch 1/6)
2023-05-28 13:01:58,052 - common - DEBUG - PS got 4/10 updates (from Worker_6, 1/188 (1/1128), epoch 1/6)
2023-05-28 13:01:58,158 - common - DEBUG - Worker_9 is working on a dataset of size 6000
2023-05-28 13:01:58,321 - common - DEBUG - PS got 6/10 updates (from Worker_7, 1/188 (1/1128), epoch 1/6)
2023-05-28 13:01:58,399 - common - DEBUG - Worker_10 is working on a dataset of size 6000
2023-05-28 13:01:58,479 - common - DEBUG - PS got 7/10 updates (from Worker_5, 1/188 (1/1128), epoch 1/6)
2023-05-28 13:01:58,578 - common - DEBUG - PS got 8/10 updates (from Worker_8, 1/188 (1/1128), epoch 1/6)
2023-05-28 13:01:58,702 - common - DEBUG - PS got 9/10 updates (from Worker_9, 1/188 (1/1128), epoch 1/6)
2023-05-28 13:01:58,725 - common - DEBUG - PS got 10/10 updates (from Worker_10, 1/188 (1/1128), epoch 1/6)
2023-05-28 13:01:58,734 - common - DEBUG - PS updated model, global loss is 2.305275249481201, weights norm is 8.88990988268619
2023-05-28 13:01:59,582 - common - DEBUG - PS got 1/10 updates (from Worker_2, 2/188 (2/1128), epoch 1/6)
2023-05-28 13:01:59,708 - common - DEBUG - PS got 2/10 updates (from Worker_8, 2/188 (2/1128), epoch 1/6)
2023-05-28 13:01:59,870 - common - DEBUG - PS got 3/10 updates (from Worker_9, 2/188 (2/1128), epoch 1/6)
2023-05-28 13:01:59,894 - common - DEBUG - PS got 4/10 updates (from Worker_5, 2/188 (2/1128), epoch 1/6)
2023-05-28 13:01:59,946 - common - DEBUG - PS got 5/10 updates (from Worker_7, 2/188 (2/1128), epoch 1/6)
2023-05-28 13:01:59,956 - common - DEBUG - PS got 6/10 updates (from Worker_10, 2/188 (2/1128), epoch 1/6)
2023-05-28 13:02:00,123 - common - DEBUG - PS got 7/10 updates (from Worker_6, 2/188 (2/1128), epoch 1/6)
2023-05-28 13:02:00,174 - common - DEBUG - PS got 8/10 updates (from Worker_4, 2/188 (2/1128), epoch 1/6)
2023-05-28 13:02:00,221 - common - DEBUG - PS got 9/10 updates (from Worker_3, 2/188 (2/1128), epoch 1/6)
2023-05-28 13:02:00,221 - common - DEBUG - PS got 9/10 updates (from Worker_1, 2/188 (2/1128), epoch 1/6)
2023-05-28 13:02:00,244 - common - DEBUG - PS updated model, global loss is 2.305757212638855, weights norm is 8.889900551942691
2023-05-28 13:02:00,993 - common - DEBUG - PS got 1/10 updates (from Worker_8, 3/188 (3/1128), epoch 1/6)
2023-05-28 13:02:01,164 - common - DEBUG - PS got 2/10 updates (from Worker_2, 3/188 (3/1128), epoch 1/6)
2023-05-28 13:02:01,234 - common - DEBUG - PS got 3/10 updates (from Worker_5, 3/188 (3/1128), epoch 1/6)
2023-05-28 13:02:01,268 - common - DEBUG - PS got 4/10 updates (from Worker_10, 3/188 (3/1128), epoch 1/6)
2023-05-28 13:02:01,271 - common - DEBUG - PS got 4/10 updates (from Worker_9, 3/188 (3/1128), epoch 1/6)
2023-05-28 13:02:01,280 - common - DEBUG - PS got 5/10 updates (from Worker_7, 3/188 (3/1128), epoch 1/6)
2023-05-28 13:02:01,442 - common - DEBUG - PS got 7/10 updates (from Worker_4, 3/188 (3/1128), epoch 1/6)
2023-05-28 13:02:01,458 - common - DEBUG - PS got 8/10 updates (from Worker_3, 3/188 (3/1128), epoch 1/6)
2023-05-28 13:02:01,470 - common - DEBUG - PS got 9/10 updates (from Worker_1, 3/188 (3/1128), epoch 1/6)
2023-05-28 13:02:01,475 - common - DEBUG - PS got 10/10 updates (from Worker_6, 3/188 (3/1128), epoch 1/6)
2023-05-28 13:02:01,486 - common - DEBUG - PS updated model, global loss is 2.3042288064956664, weights norm is 8.889892818553887
2023-05-28 13:02:02,264 - common - DEBUG - PS got 1/10 updates (from Worker_10, 4/188 (4/1128), epoch 1/6)
2023-05-28 13:02:02,370 - common - DEBUG - PS got 2/10 updates (from Worker_2, 4/188 (4/1128), epoch 1/6)
2023-05-28 13:02:02,443 - common - DEBUG - PS got 3/10 updates (from Worker_8, 4/188 (4/1128), epoch 1/6)
2023-05-28 13:02:02,564 - common - DEBUG - PS got 4/10 updates (from Worker_5, 4/188 (4/1128), epoch 1/6)
2023-05-28 13:02:02,672 - common - DEBUG - PS got 5/10 updates (from Worker_7, 4/188 (4/1128), epoch 1/6)
2023-05-28 13:02:02,798 - common - DEBUG - PS got 6/10 updates (from Worker_6, 4/188 (4/1128), epoch 1/6)
2023-05-28 13:02:02,834 - common - DEBUG - PS got 7/10 updates (from Worker_3, 4/188 (4/1128), epoch 1/6)
2023-05-28 13:02:02,884 - common - DEBUG - PS got 8/10 updates (from Worker_9, 4/188 (4/1128), epoch 1/6)
2023-05-28 13:02:02,912 - common - DEBUG - PS got 9/10 updates (from Worker_1, 4/188 (4/1128), epoch 1/6)
2023-05-28 13:02:02,926 - common - DEBUG - PS got 10/10 updates (from Worker_4, 4/188 (4/1128), epoch 1/6)
2023-05-28 13:02:02,983 - common - DEBUG - PS updated model, global loss is 2.304748797416687, weights norm is 8.889886549022975
2023-05-28 13:02:02,984 - common - DEBUG - PS got 1/10 updates (from Worker_10, 5/188 (5/1128), epoch 1/6)
2023-05-28 13:02:03,825 - common - DEBUG - PS got 2/10 updates (from Worker_1, 5/188 (5/1128), epoch 1/6)
2023-05-28 13:02:03,955 - common - DEBUG - PS got 3/10 updates (from Worker_3, 5/188 (5/1128), epoch 1/6)
2023-05-28 13:02:04,043 - common - DEBUG - PS got 4/10 updates (from Worker_4, 5/188 (5/1128), epoch 1/6)
2023-05-28 13:02:04,136 - common - DEBUG - PS got 5/10 updates (from Worker_8, 5/188 (5/1128), epoch 1/6)
2023-05-28 13:02:04,138 - common - DEBUG - PS got 5/10 updates (from Worker_2, 5/188 (5/1128), epoch 1/6)
2023-05-28 13:02:04,159 - common - DEBUG - PS got 7/10 updates (from Worker_6, 5/188 (5/1128), epoch 1/6)
2023-05-28 13:02:04,166 - common - DEBUG - PS got 8/10 updates (from Worker_7, 5/188 (5/1128), epoch 1/6)
2023-05-28 13:02:04,168 - common - DEBUG - PS got 9/10 updates (from Worker_9, 5/188 (5/1128), epoch 1/6)
2023-05-28 13:02:04,180 - common - DEBUG - PS got 10/10 updates (from Worker_5, 5/188 (5/1128), epoch 1/6)
2023-05-28 13:02:04,225 - common - DEBUG - PS updated model, global loss is 2.3046480894088743, weights norm is 8.889878543462334
2023-05-28 13:02:05,254 - common - DEBUG - PS got 1/10 updates (from Worker_5, 6/188 (6/1128), epoch 1/6)
2023-05-28 13:02:05,296 - common - DEBUG - PS got 2/10 updates (from Worker_1, 6/188 (6/1128), epoch 1/6)
2023-05-28 13:02:05,329 - common - DEBUG - PS got 3/10 updates (from Worker_7, 6/188 (6/1128), epoch 1/6)
2023-05-28 13:02:05,332 - common - DEBUG - PS got 3/10 updates (from Worker_10, 6/188 (6/1128), epoch 1/6)
2023-05-28 13:02:05,334 - common - DEBUG - PS got 3/10 updates (from Worker_8, 6/188 (6/1128), epoch 1/6)
2023-05-28 13:02:05,386 - common - DEBUG - PS got 6/10 updates (from Worker_3, 6/188 (6/1128), epoch 1/6)
2023-05-28 13:02:05,450 - common - DEBUG - PS got 7/10 updates (from Worker_2, 6/188 (6/1128), epoch 1/6)
2023-05-28 13:02:05,559 - common - DEBUG - PS got 8/10 updates (from Worker_9, 6/188 (6/1128), epoch 1/6)
2023-05-28 13:02:05,604 - common - DEBUG - PS got 9/10 updates (from Worker_6, 6/188 (6/1128), epoch 1/6)
2023-05-28 13:02:05,621 - common - DEBUG - PS got 10/10 updates (from Worker_4, 6/188 (6/1128), epoch 1/6)
2023-05-28 13:02:05,637 - common - DEBUG - PS updated model, global loss is 2.304402542114258, weights norm is 8.889871500176744
2023-05-28 13:02:06,510 - common - DEBUG - PS got 1/10 updates (from Worker_3, 7/188 (7/1128), epoch 1/6)
2023-05-28 13:02:06,656 - common - DEBUG - PS got 2/10 updates (from Worker_7, 7/188 (7/1128), epoch 1/6)
2023-05-28 13:02:06,759 - common - DEBUG - PS got 3/10 updates (from Worker_6, 7/188 (7/1128), epoch 1/6)
2023-05-28 13:02:06,782 - common - DEBUG - PS got 4/10 updates (from Worker_4, 7/188 (7/1128), epoch 1/6)
2023-05-28 13:02:06,848 - common - DEBUG - PS got 5/10 updates (from Worker_2, 7/188 (7/1128), epoch 1/6)
2023-05-28 13:02:06,885 - common - DEBUG - PS got 6/10 updates (from Worker_8, 7/188 (7/1128), epoch 1/6)
2023-05-28 13:02:06,896 - common - DEBUG - PS got 6/10 updates (from Worker_1, 7/188 (7/1128), epoch 1/6)
