2023-05-28 16:02:20,318 - common - INFO - Starting synchronous SGD training with 5 workers
2023-05-28 16:02:20,970 - common - DEBUG - Worker_1 is working on a dataset of size 12000
2023-05-28 16:02:21,515 - common - DEBUG - Worker_2 is working on a dataset of size 12000
2023-05-28 16:02:21,630 - common - DEBUG - Worker_3 is working on a dataset of size 12000
2023-05-28 16:02:21,655 - common - DEBUG - PS got 1/5 updates (from Worker_1, 1/375 (1/2250), epoch 1/6)
2023-05-28 16:02:22,062 - common - DEBUG - Worker_4 is working on a dataset of size 12000
2023-05-28 16:02:22,114 - common - DEBUG - PS got 2/5 updates (from Worker_2, 1/375 (1/2250), epoch 1/6)
2023-05-28 16:02:22,127 - common - DEBUG - PS got 3/5 updates (from Worker_3, 1/375 (1/2250), epoch 1/6)
2023-05-28 16:02:22,290 - common - DEBUG - Worker_5 is working on a dataset of size 12000
2023-05-28 16:02:22,461 - common - DEBUG - PS got 4/5 updates (from Worker_4, 1/375 (1/2250), epoch 1/6)
2023-05-28 16:02:22,527 - common - DEBUG - PS got 5/5 updates (from Worker_5, 1/375 (1/2250), epoch 1/6)
2023-05-28 16:02:22,538 - common - DEBUG - PS updated model, global loss is 2.3093145370483397, weights norm is 8.862872000107707
2023-05-28 16:02:23,181 - common - DEBUG - PS got 1/5 updates (from Worker_2, 2/375 (2/2250), epoch 1/6)
2023-05-28 16:02:23,183 - common - DEBUG - PS got 1/5 updates (from Worker_5, 2/375 (2/2250), epoch 1/6)
2023-05-28 16:02:23,198 - common - DEBUG - PS got 3/5 updates (from Worker_4, 2/375 (2/2250), epoch 1/6)
2023-05-28 16:02:23,201 - common - DEBUG - PS got 3/5 updates (from Worker_1, 2/375 (2/2250), epoch 1/6)
2023-05-28 16:02:23,211 - common - DEBUG - PS got 3/5 updates (from Worker_3, 2/375 (2/2250), epoch 1/6)
2023-05-28 16:02:23,223 - common - DEBUG - PS updated model, global loss is 2.310116767883301, weights norm is 8.86283895052749
2023-05-28 16:02:23,639 - common - DEBUG - PS got 1/5 updates (from Worker_4, 3/375 (3/2250), epoch 1/6)
2023-05-28 16:02:23,769 - common - DEBUG - PS got 2/5 updates (from Worker_1, 3/375 (3/2250), epoch 1/6)
2023-05-28 16:02:23,789 - common - DEBUG - PS got 3/5 updates (from Worker_5, 3/375 (3/2250), epoch 1/6)
2023-05-28 16:02:23,834 - common - DEBUG - PS got 4/5 updates (from Worker_2, 3/375 (3/2250), epoch 1/6)
2023-05-28 16:02:23,842 - common - DEBUG - PS got 5/5 updates (from Worker_3, 3/375 (3/2250), epoch 1/6)
2023-05-28 16:02:23,852 - common - DEBUG - PS updated model, global loss is 2.2996055126190185, weights norm is 8.8628530362828
