2023-05-28 15:00:03,448 - common - INFO - Starting synchronous SGD training with 5 workers
2023-05-28 15:00:03,476 - common - DEBUG - Worker_5 is working on a dataset of size 12000
2023-05-28 15:00:03,478 - common - DEBUG - Worker_4 is working on a dataset of size 12000
2023-05-28 15:00:03,478 - common - DEBUG - Worker_3 is working on a dataset of size 12000
2023-05-28 15:00:03,480 - common - DEBUG - Worker_1 is working on a dataset of size 12000
2023-05-28 15:00:03,481 - common - DEBUG - Worker_2 is working on a dataset of size 12000
2023-05-28 15:00:03,888 - common - DEBUG - PS got 1/5 updates (from Worker_3, 1/375 (1/2250), epoch 1/6)
2023-05-28 15:00:04,047 - common - DEBUG - PS got 2/5 updates (from Worker_4, 1/375 (1/2250), epoch 1/6)
2023-05-28 15:00:04,059 - common - DEBUG - PS got 3/5 updates (from Worker_2, 1/375 (1/2250), epoch 1/6)
2023-05-28 15:00:04,063 - common - DEBUG - PS got 4/5 updates (from Worker_1, 1/375 (1/2250), epoch 1/6)
2023-05-28 15:00:04,065 - common - DEBUG - PS got 4/5 updates (from Worker_5, 1/375 (1/2250), epoch 1/6)
2023-05-28 15:00:04,077 - common - DEBUG - PS updated model, global loss is 2.2864095687866213, weights norm is 8.917511605217644
2023-05-28 15:00:04,551 - common - DEBUG - PS got 1/5 updates (from Worker_2, 2/375 (2/2250), epoch 1/6)
2023-05-28 15:00:04,595 - common - DEBUG - PS got 2/5 updates (from Worker_5, 2/375 (2/2250), epoch 1/6)
2023-05-28 15:00:04,613 - common - DEBUG - PS got 3/5 updates (from Worker_4, 2/375 (2/2250), epoch 1/6)
2023-05-28 15:00:04,619 - common - DEBUG - PS got 4/5 updates (from Worker_3, 2/375 (2/2250), epoch 1/6)
2023-05-28 15:00:04,621 - common - DEBUG - PS got 4/5 updates (from Worker_1, 2/375 (2/2250), epoch 1/6)
2023-05-28 15:00:04,629 - common - DEBUG - PS updated model, global loss is 2.2960352420806887, weights norm is 8.91755691605417
2023-05-28 15:00:04,876 - common - DEBUG - PS got 1/5 updates (from Worker_3, 3/375 (3/2250), epoch 1/6)
2023-05-28 15:00:05,000 - common - DEBUG - PS got 2/5 updates (from Worker_1, 3/375 (3/2250), epoch 1/6)
2023-05-28 15:00:05,066 - common - DEBUG - PS got 3/5 updates (from Worker_4, 3/375 (3/2250), epoch 1/6)
2023-05-28 15:00:05,069 - common - DEBUG - PS got 3/5 updates (from Worker_2, 3/375 (3/2250), epoch 1/6)
2023-05-28 15:00:05,077 - common - DEBUG - PS got 5/5 updates (from Worker_5, 3/375 (3/2250), epoch 1/6)
2023-05-28 15:00:05,084 - common - DEBUG - PS updated model, global loss is 2.279880475997925, weights norm is 8.9176739513256
