2023-05-28 11:48:47,350 - common - INFO - Starting synchronous SGD training with 5 workers
2023-05-28 11:48:47,377 - common - DEBUG - Worker_1 is working on a dataset of size 12000
2023-05-28 11:48:47,379 - common - DEBUG - Worker_3 is working on a dataset of size 12000
2023-05-28 11:48:47,378 - common - DEBUG - Worker_4 is working on a dataset of size 12000
2023-05-28 11:48:47,379 - common - DEBUG - Worker_5 is working on a dataset of size 12000
2023-05-28 11:48:47,380 - common - DEBUG - Worker_2 is working on a dataset of size 12000
2023-05-28 11:48:47,905 - common - DEBUG - PS got 1/5 updates (from Worker_4, 1/375 (1/2250), epoch 1/6)
2023-05-28 11:48:47,944 - common - DEBUG - PS got 2/5 updates (from Worker_5, 1/375 (1/2250), epoch 1/6)
2023-05-28 11:48:47,995 - common - DEBUG - PS got 3/5 updates (from Worker_2, 1/375 (1/2250), epoch 1/6)
2023-05-28 11:48:47,999 - common - DEBUG - PS got 3/5 updates (from Worker_3, 1/375 (1/2250), epoch 1/6)
2023-05-28 11:48:48,007 - common - DEBUG - PS got 5/5 updates (from Worker_1, 1/375 (1/2250), epoch 1/6)
2023-05-28 11:48:48,012 - common - DEBUG - PS updated model, global loss is 2.3035151958465576, weights norm is 8.867168325135841
2023-05-28 11:48:48,532 - common - DEBUG - PS got 1/5 updates (from Worker_1, 2/375 (2/2250), epoch 1/6)
2023-05-28 11:48:48,574 - common - DEBUG - PS got 2/5 updates (from Worker_2, 2/375 (2/2250), epoch 1/6)
2023-05-28 11:48:48,612 - common - DEBUG - PS got 3/5 updates (from Worker_5, 2/375 (2/2250), epoch 1/6)
2023-05-28 11:48:48,619 - common - DEBUG - PS got 4/5 updates (from Worker_3, 2/375 (2/2250), epoch 1/6)
2023-05-28 11:48:48,625 - common - DEBUG - PS got 5/5 updates (from Worker_4, 2/375 (2/2250), epoch 1/6)
2023-05-28 11:48:48,629 - common - DEBUG - PS updated model, global loss is 2.305565357208252, weights norm is 8.867163516099142
2023-05-28 11:48:48,717 - common - DEBUG - PS got 1/5 updates (from Worker_5, 3/375 (3/2250), epoch 1/6)
2023-05-28 11:48:49,191 - common - DEBUG - PS got 2/5 updates (from Worker_2, 3/375 (3/2250), epoch 1/6)
2023-05-28 11:48:49,197 - common - DEBUG - PS got 2/5 updates (from Worker_1, 3/375 (3/2250), epoch 1/6)
2023-05-28 11:48:49,200 - common - DEBUG - PS got 2/5 updates (from Worker_3, 3/375 (3/2250), epoch 1/6)
2023-05-28 11:48:49,205 - common - DEBUG - PS got 5/5 updates (from Worker_4, 3/375 (3/2250), epoch 1/6)
2023-05-28 11:48:49,209 - common - DEBUG - PS updated model, global loss is 2.309106969833374, weights norm is 8.867153766461733
2023-05-28 11:48:49,225 - common - DEBUG - PS got 1/5 updates (from Worker_5, 4/375 (4/2250), epoch 1/6)
2023-05-28 11:48:49,432 - common - DEBUG - PS got 2/5 updates (from Worker_3, 4/375 (4/2250), epoch 1/6)
