2023-05-19 17:19:20,768 - common - INFO - Start training
2023-05-19 17:19:20,799 - common - DEBUG - Worker_3 is working on a dataset of size 10000
2023-05-19 17:19:20,800 - common - DEBUG - Worker_4 is working on a dataset of size 10000
2023-05-19 17:19:20,803 - common - DEBUG - Worker_5 is working on a dataset of size 10000
2023-05-19 17:19:20,802 - common - DEBUG - Worker_1 is working on a dataset of size 10000
2023-05-19 17:19:20,804 - common - DEBUG - Worker_6 is working on a dataset of size 10000
2023-05-19 17:19:20,804 - common - DEBUG - Worker_2 is working on a dataset of size 10000
2023-05-19 17:19:22,531 - common - DEBUG - PS got 1/6 updates (from Worker_4, 1/100 (1/600), epoch 1/6)
2023-05-19 17:19:22,620 - common - DEBUG - PS got 2/6 updates (from Worker_1, 1/100 (1/600), epoch 1/6)
2023-05-19 17:19:22,621 - common - DEBUG - PS got 2/6 updates (from Worker_3, 1/100 (1/600), epoch 1/6)
2023-05-19 17:19:22,621 - common - DEBUG - PS got 2/6 updates (from Worker_5, 1/100 (1/600), epoch 1/6)
2023-05-19 17:19:22,625 - common - DEBUG - PS got 2/6 updates (from Worker_6, 1/100 (1/600), epoch 1/6)
2023-05-19 17:19:22,633 - common - DEBUG - PS got 3/6 updates (from Worker_2, 1/100 (1/600), epoch 1/6)
2023-05-19 17:19:22,644 - common - DEBUG - PS updated model, global loss is 2.3082847118377687, weights norm is 8.843303436554795
2023-05-19 17:19:24,113 - common - DEBUG - PS got 1/6 updates (from Worker_1, 2/100 (2/600), epoch 1/6)
2023-05-19 17:19:24,114 - common - DEBUG - PS got 1/6 updates (from Worker_6, 2/100 (2/600), epoch 1/6)
2023-05-19 17:19:24,143 - common - DEBUG - PS got 2/6 updates (from Worker_5, 2/100 (2/600), epoch 1/6)
2023-05-19 17:19:24,203 - common - DEBUG - PS got 4/6 updates (from Worker_2, 2/100 (2/600), epoch 1/6)
2023-05-19 17:19:24,254 - common - DEBUG - PS got 5/6 updates (from Worker_4, 2/100 (2/600), epoch 1/6)
2023-05-19 17:19:24,260 - common - DEBUG - PS got 6/6 updates (from Worker_3, 2/100 (2/600), epoch 1/6)
2023-05-19 17:19:24,266 - common - DEBUG - PS updated model, global loss is 2.2961417039235434, weights norm is 8.843322094876077
2023-05-19 17:19:25,665 - common - DEBUG - PS got 1/6 updates (from Worker_3, 3/100 (3/600), epoch 1/6)
2023-05-19 17:19:25,688 - common - DEBUG - PS got 2/6 updates (from Worker_1, 3/100 (3/600), epoch 1/6)
2023-05-19 17:19:25,820 - common - DEBUG - PS got 3/6 updates (from Worker_6, 3/100 (3/600), epoch 1/6)
2023-05-19 17:19:25,853 - common - DEBUG - PS got 4/6 updates (from Worker_4, 3/100 (3/600), epoch 1/6)
2023-05-19 17:19:25,861 - common - DEBUG - PS got 5/6 updates (from Worker_5, 3/100 (3/600), epoch 1/6)
2023-05-19 17:19:25,864 - common - DEBUG - PS got 5/6 updates (from Worker_2, 3/100 (3/600), epoch 1/6)
2023-05-19 17:19:25,870 - common - DEBUG - PS updated model, global loss is 2.26779842376709, weights norm is 8.843560610595672
2023-05-19 17:19:27,293 - common - DEBUG - PS got 1/6 updates (from Worker_4, 4/100 (4/600), epoch 1/6)
2023-05-19 17:19:27,321 - common - DEBUG - PS got 2/6 updates (from Worker_2, 4/100 (4/600), epoch 1/6)
2023-05-19 17:19:27,401 - common - DEBUG - PS got 3/6 updates (from Worker_3, 4/100 (4/600), epoch 1/6)
2023-05-19 17:19:27,462 - common - DEBUG - PS got 4/6 updates (from Worker_1, 4/100 (4/600), epoch 1/6)
2023-05-19 17:19:27,463 - common - DEBUG - PS got 4/6 updates (from Worker_6, 4/100 (4/600), epoch 1/6)
2023-05-19 17:19:27,465 - common - DEBUG - PS got 6/6 updates (from Worker_5, 4/100 (4/600), epoch 1/6)
2023-05-19 17:19:27,470 - common - DEBUG - PS updated model, global loss is 2.242332100868225, weights norm is 8.844164180501672
2023-05-19 17:19:28,491 - common - DEBUG - PS got 1/6 updates (from Worker_1, 5/100 (5/600), epoch 1/6)
2023-05-19 17:19:28,855 - common - DEBUG - PS got 2/6 updates (from Worker_5, 5/100 (5/600), epoch 1/6)
2023-05-19 17:19:28,940 - common - DEBUG - PS got 3/6 updates (from Worker_2, 5/100 (5/600), epoch 1/6)
2023-05-19 17:19:28,963 - common - DEBUG - PS got 4/6 updates (from Worker_4, 5/100 (5/600), epoch 1/6)
2023-05-19 17:19:28,979 - common - DEBUG - PS got 5/6 updates (from Worker_3, 5/100 (5/600), epoch 1/6)
2023-05-19 17:19:28,999 - common - DEBUG - PS got 6/6 updates (from Worker_6, 5/100 (5/600), epoch 1/6)
2023-05-19 17:19:29,004 - common - DEBUG - PS updated model, global loss is 2.2121361096700034, weights norm is 8.845278004255345
2023-05-19 17:19:30,431 - common - DEBUG - PS got 1/6 updates (from Worker_5, 6/100 (6/600), epoch 1/6)
2023-05-19 17:19:30,497 - common - DEBUG - PS got 2/6 updates (from Worker_4, 6/100 (6/600), epoch 1/6)
2023-05-19 17:19:30,541 - common - DEBUG - PS got 3/6 updates (from Worker_3, 6/100 (6/600), epoch 1/6)
2023-05-19 17:19:30,603 - common - DEBUG - PS got 4/6 updates (from Worker_1, 6/100 (6/600), epoch 1/6)
2023-05-19 17:19:30,607 - common - DEBUG - PS got 5/6 updates (from Worker_2, 6/100 (6/600), epoch 1/6)
2023-05-19 17:19:30,609 - common - DEBUG - PS got 5/6 updates (from Worker_6, 6/100 (6/600), epoch 1/6)
2023-05-19 17:19:30,617 - common - DEBUG - PS updated model, global loss is 2.1647749741872153, weights norm is 8.84708427471695
2023-05-19 17:19:32,073 - common - DEBUG - PS got 1/6 updates (from Worker_2, 7/100 (7/600), epoch 1/6)
2023-05-19 17:19:32,136 - common - DEBUG - PS got 2/6 updates (from Worker_4, 7/100 (7/600), epoch 1/6)
2023-05-19 17:19:32,139 - common - DEBUG - PS got 2/6 updates (from Worker_5, 7/100 (7/600), epoch 1/6)
2023-05-19 17:19:32,170 - common - DEBUG - PS got 4/6 updates (from Worker_1, 7/100 (7/600), epoch 1/6)
2023-05-19 17:19:32,183 - common - DEBUG - PS got 5/6 updates (from Worker_3, 7/100 (7/600), epoch 1/6)
2023-05-19 17:19:32,184 - common - DEBUG - PS got 5/6 updates (from Worker_6, 7/100 (7/600), epoch 1/6)
2023-05-19 17:19:32,189 - common - DEBUG - PS updated model, global loss is 2.123038371404012, weights norm is 8.849713524579125
2023-05-19 17:19:33,703 - common - DEBUG - PS got 1/6 updates (from Worker_3, 8/100 (8/600), epoch 1/6)
2023-05-19 17:19:33,713 - common - DEBUG - PS got 2/6 updates (from Worker_6, 8/100 (8/600), epoch 1/6)
2023-05-19 17:19:33,793 - common - DEBUG - PS got 3/6 updates (from Worker_1, 8/100 (8/600), epoch 1/6)
2023-05-19 17:19:33,794 - common - DEBUG - PS got 3/6 updates (from Worker_4, 8/100 (8/600), epoch 1/6)
2023-05-19 17:19:33,807 - common - DEBUG - PS got 5/6 updates (from Worker_2, 8/100 (8/600), epoch 1/6)
2023-05-19 17:19:33,818 - common - DEBUG - PS got 6/6 updates (from Worker_5, 8/100 (8/600), epoch 1/6)
2023-05-19 17:19:33,823 - common - DEBUG - PS updated model, global loss is 2.0447229544321694, weights norm is 8.853471815859763
2023-05-19 17:19:34,624 - common - DEBUG - PS got 1/6 updates (from Worker_6, 9/100 (9/600), epoch 1/6)
2023-05-19 17:19:35,318 - common - DEBUG - PS got 2/6 updates (from Worker_3, 9/100 (9/600), epoch 1/6)
2023-05-19 17:19:35,322 - common - DEBUG - PS got 2/6 updates (from Worker_1, 9/100 (9/600), epoch 1/6)
